order_id,order_date,year,month,month_name,product,category,price,quantity,total_sales,customer_name,customer_location,payment_method,order_status,avg_order_value,is_cancelled
ORD0001,2025-03-14,2025,3,Mar,Running Shoes,Footwear,60.0,3,180.0,Emma Clark,New York,Debit Card,Cancelled,60.0,1
ORD0002,2025-03-20,2025,3,Mar,Headphones,Electronics,100.0,4,400.0,Emily Johnson,San Francisco,Debit Card,Pending,100.0,0
ORD0003,2025-02-15,2025,2,Feb,Running Shoes,Footwear,60.0,2,120.0,John Doe,Denver,Amazon Pay,Cancelled,60.0,1
ORD0004,2025-02-19,2025,2,Feb,Running Shoes,Footwear,60.0,3,180.0,Olivia Wilson,Dallas,Credit Card,Pending,60.0,0
ORD0005,2025-03-10,2025,3,Mar,Smartwatch,Electronics,150.0,3,450.0,Emma Clark,New York,Debit Card,Pending,150.0,0
ORD0006,2025-03-14,2025,3,Mar,T-Shirt,Clothing,20.0,1,20.0,John Doe,Dallas,Credit Card,Pending,20.0,0
ORD0007,2025-03-18,2025,3,Mar,Smartwatch,Electronics,150.0,4,600.0,Emma Clark,Houston,PayPal,Completed,150.0,0
ORD0008,2025-03-02,2025,3,Mar,Smartphone,Electronics,500.0,1,500.0,Sophia Miller,Miami,PayPal,Completed,500.0,0
ORD0009,2025-03-08,2025,3,Mar,T-Shirt,Clothing,20.0,3,60.0,Sophia Miller,Boston,PayPal,Completed,20.0,0
ORD0010,2025-03-12,2025,3,Mar,Smartphone,Electronics,500.0,1,500.0,Emily Johnson,San Francisco,Credit Card,Cancelled,500.0,1
ORD0011,2025-02-17,2025,2,Feb,Book,Books,15.0,2,30.0,David Lee,Boston,Amazon Pay,Pending,15.0,0
ORD0012,2025-03-13,2025,3,Mar,Jeans,Clothing,40.0,4,160.0,Michael Brown,Dallas,Credit Card,Completed,40.0,0
ORD0013,2025-03-01,2025,3,Mar,Laptop,Electronics,800.0,2,1600.0,Daniel Harris,San Francisco,Gift Card,Pending,800.0,0
ORD0014,2025-03-04,2025,3,Mar,Washing Machine,Home Appliances,600.0,3,1800.0,Michael Brown,Miami,Credit Card,Cancelled,600.0,1
ORD0015,2025-02-20,2025,2,Feb,Smartwatch,Electronics,150.0,4,600.0,John Doe,Seattle,Credit Card,Completed,150.0,0
ORD0016,2025-02-26,2025,2,Feb,Refrigerator,Home Appliances,1200.0,1,1200.0,John Doe,Boston,Credit Card,Cancelled,1200.0,1
ORD0017,2025-04-01,2025,4,Apr,T-Shirt,Clothing,20.0,1,20.0,Emma Clark,New York,Amazon Pay,Completed,20.0,0
ORD0018,2025-02-10,2025,2,Feb,Smartphone,Electronics,500.0,2,1000.0,Michael Brown,Los Angeles,Amazon Pay,Completed,500.0,0
ORD0019,2025-03-22,2025,3,Mar,Running Shoes,Footwear,60.0,3,180.0,Olivia Wilson,Houston,Credit Card,Completed,60.0,0
ORD0020,2025-03-07,2025,3,Mar,Headphones,Electronics,100.0,4,400.0,Olivia Wilson,Seattle,Debit Card,Pending,100.0,0
ORD0021,2025-02-05,2025,2,Feb,Headphones,Electronics,100.0,3,300.0,Chris White,Miami,Debit Card,Cancelled,100.0,1
ORD0022,2025-03-07,2025,3,Mar,Refrigerator,Home Appliances,1200.0,4,4800.0,Olivia Wilson,Houston,Credit Card,Pending,1200.0,0
ORD0023,2025-02-23,2025,2,Feb,Book,Books,15.0,1,15.0,Emma Clark,Houston,Credit Card,Pending,15.0,0
ORD0024,2025-03-24,2025,3,Mar,Refrigerator,Home Appliances,1200.0,3,3600.0,Chris White,Dallas,Credit Card,Cancelled,1200.0,1
ORD0025,2025-03-02,2025,3,Mar,Book,Books,15.0,5,75.0,Sophia Miller,Seattle,Amazon Pay,Completed,15.0,0
ORD0026,2025-02-14,2025,2,Feb,Washing Machine,Home Appliances,600.0,1,600.0,Olivia Wilson,Boston,Debit Card,Cancelled,600.0,1
ORD0027,2025-02-07,2025,2,Feb,T-Shirt,Clothing,20.0,1,20.0,Daniel Harris,New York,Amazon Pay,Pending,20.0,0
